通番,問題ID,問題（日本語）,問題（英語）,正解,カテゴリ,正答率
1,A101,パスワードは、推測されやすい有名な単語などを避け、自分の趣味など個人的なものを元に作成すると安全である。,"You should avoid using easily guessable passwords, but it is safe to create passwords based on personal information such as your hobbies.",誤り/False,Password & Authentication > Password policy & management,0.59
2,A102,"パスワードを忘れると不便なため、""1234""のような覚えやすいものを用いるのが良い。","It is good to use something easy to remember, such as ""1234"", as your password because it is inconvenient if you forget it.",誤り/False,Password & Authentication > Password policy & management,0.98
3,A201,二要素認証を設定することで、不正にログインされるリスクを減らすことができる。,"By setting up two-factor authentication, the risk of unauthorized account access can be reduced.",正しい/True,Password & Authentication > 2FA,0.96
4,A202,二要素認証には、生体認証やワンタイムパスワードなどを用いることがある。,"For two-factor authentication, biometric authentication or a one-time password may be used.",正しい/True,Password & Authentication > 2FA,0.8
5,A203,身に覚えのない二要素認証のポップアップを許可することで、アカウントを乗っ取られる危険がある。,There is a danger that your account will be compromised by completing unrecognized two-factor authentication pop-ups when you are not attempting to log in.,正しい/True,Password & Authentication > 2FA,0.77
6,A301,パスワードは複雑なものに設定し、忘れないようにメモに残してパソコンに貼っておくと安全である。,It is safe to create a complicated password and jot it down on a note attached to your computer.,誤り/False,Password & Authentication > Password memorization,0.88
7,A302,信頼できるパスワードマネージャーを利用することで、複雑なパスワードを設定しやすくなる。,Reliable password managers make it easier to use complex passwords.,正しい/True,Password & Authentication > Password memorization,0.75
8,A401,スマートフォンのパターンロックは、安易なパターンだと突破される懸念があるので、複雑なものにすることが良い。,The pattern lock of a smartphone should be complicated because there is a concern about it being broken if it uses a simple pattern.,正しい/True,Password & Authentication > Alternative authentication,0.85
9,A402,位置情報に基づいてスマートフォンのロックを解除する技術が開発中である。,A smartphone screen lock based on location information is currently under development.,正しい/True,Password & Authentication > Alternative authentication,0.12
10,A501,指紋認証や顔認証は、自分しか解錠できないため、他人に突破される心配はない。,"Since only the owner can unlock fingerprint authentication and face authentication, there is no need to worry about it being accessed by others.",誤り/False,Password & Authentication > Biometric authentication,0.77
11,A502,指紋認証や顔認証は、パスワードによるロックと組み合わせると、より安全になる。,Fingerprint authentication and face authentication are safer when combined with password authentication.,正しい/True,Password & Authentication > Biometric authentication,0.95
12,A601,ユーザーの普段の行動の特徴などを基にして認証を行う技術が研究されている。,Techniques of authentication based on the characteristics of user's habitual behavior being developed.,正しい/True,Password & Authentication > Implicit authnetication,0.49
13,A602,一部のスマートフォンでは、ユーザの手元にスマートフォンがある場合などに、画面ロックを免除する機能がある。,"Some smartphones can waive the screen unlock procedure when the smartphone is in the user's hands, for example.",正しい/True,Password & Authentication > Implicit authnetication,0.45
14,A701,携帯電話は常に手元に持っており、開く回数も多いので、ロックをかけない方が良い。,It's better not to lock your smartphone because you always carry it with you and use it frequently.,誤り/False,Password & Authentication > Usability of authentication,0.96
15,A702,スマートフォンを使い続けている途中でも、安全性を確保するために再度スクリーンロックの解除などを求められる場合がある。,"Even while using your smartphone, you may be asked to input your device password again for security reasons.",正しい/True,Password & Authentication > Usability of authentication,0.71
16,A801,インターネットアカウントの認証方法のFIDOは、指紋などの生体情報を通信でサービス提供者に送るので、セキュリティ上のリスクがある。,"FIDO, which is an Internet account authentication method, sends biological information such as fingerprints to the service provider, which is a security risk.",誤り/False,Password & Authentication > FIDO,0.11
17,A802,一部のインターネットサービスでは、スマートフォン等から指紋を用いてログインすることができる。,Some Internet services allow users to log in using their fingerprints from smartphones or other devices.,正しい/True,Password & Authentication > FIDO,0.83
18,B101,信用できる友達から送られてきたリンクであっても、URLをよく確認する必要がある。,You need to check the URL carefully even if a link is sent from a trusted friend.,正しい/True,Threat > Phishing / Spam / Social engineering,0.95
